,industry,industry_Disp,indistry_map_dic,sector,sectorKey,sectorDisp
SCCO,Copper,Copper,copper,Basic Materials,basic-materials,Basic Materials
NWG,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
ANET,Computer Hardware,Computer Hardware,computer-hardware,Technology,technology,Technology
O,REIT - Retail,REIT - Retail,reit-retail,Real Estate,real-estate,Real Estate
PSX,Oil & Gas Refining & Marketing,Oil & Gas Refining & Marketing,oil-gas-refining-marketing,Energy,energy,Energy
MCHP,Semiconductors,Semiconductors,semiconductors,Technology,technology,Technology
BBD,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
KR,Grocery Stores,Grocery Stores,grocery-stores,Consumer Defensive,consumer-defensive,Consumer Defensive
EA,Electronic Gaming & Multimedia,Electronic Gaming & Multimedia,electronic-gaming-multimedia,Communication Services,communication-services,Communication Services
RIVN,Auto Manufacturers,Auto Manufacturers,auto-manufacturers,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
CARR,Building Products & Equipment,Building Products & Equipment,building-products-equipment,Industrials,industrials,Industrials
PRU,Insurance - Life,Insurance - Life,insurance-life,Financial Services,financial-services,Financial Services
BNTX,Biotechnology,Biotechnology,biotechnology,Healthcare,healthcare,Healthcare
DOW,Chemicals,Chemicals,chemicals,Basic Materials,basic-materials,Basic Materials
ED,Utilities - Regulated Electric,Utilities - Regulated Electric,utilities-regulated-electric,Utilities,utilities,Utilities
PH,Specialty Industrial Machinery,Specialty Industrial Machinery,specialty-industrial-machinery,Industrials,industrials,Industrials
APO,Asset Management,Asset Management,asset-management,Financial Services,financial-services,Financial Services
NIO,Auto Manufacturers,Auto Manufacturers,auto-manufacturers,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
VOD,Telecom Services,Telecom Services,telecom-services,Communication Services,communication-services,Communication Services
SE,Internet Retail,Internet Retail,internet-retail,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
NEM,Gold,Gold,gold,Basic Materials,basic-materials,Basic Materials
YUM,Restaurants,Restaurants,restaurants,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
PEG,Utilities - Regulated Electric,Utilities - Regulated Electric,utilities-regulated-electric,Utilities,utilities,Utilities
MPLX,Oil & Gas Midstream,Oil & Gas Midstream,oil-gas-midstream,Energy,energy,Energy
BCS,Banks - Diversified,Banks - Diversified,banks-diversified,Financial Services,financial-services,Financial Services
MFC,Insurance - Life,Insurance - Life,insurance-life,Financial Services,financial-services,Financial Services
ALB,Specialty Chemicals,Specialty Chemicals,specialty-chemicals,Basic Materials,basic-materials,Basic Materials
NUE,Steel,Steel,steel,Basic Materials,basic-materials,Basic Materials
SBAC,REIT - Specialty,REIT - Specialty,reit-specialty,Real Estate,real-estate,Real Estate
ALC,Medical Instruments & Supplies,Medical Instruments & Supplies,medical-instruments-supplies,Healthcare,healthcare,Healthcare
CTSH,Information Technology Services,Information Technology Services,information-technology-services,Technology,technology,Technology
RMD,Medical Instruments & Supplies,Medical Instruments & Supplies,medical-instruments-supplies,Healthcare,healthcare,Healthcare
SPG,REIT - Retail,REIT - Retail,reit-retail,Real Estate,real-estate,Real Estate
TDG,Aerospace & Defense,Aerospace & Defense,aerospace-defense,Industrials,industrials,Industrials
STM,Semiconductors,Semiconductors,semiconductors,Technology,technology,Technology
BBVA,Banks - Diversified,Banks - Diversified,banks-diversified,Financial Services,financial-services,Financial Services
TTD,Software - Application,Software - Application,software-application,Technology,technology,Technology
IMO,Oil & Gas Integrated,Oil & Gas Integrated,oil-gas-integrated,Energy,energy,Energy
IFNNY,Semiconductors,Semiconductors,semiconductors,Technology,technology,Technology
CPNG,Internet Retail,Internet Retail,internet-retail,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
SQ,Software - Infrastructure,Software - Infrastructure,software-infrastructure,Technology,technology,Technology
WEC,Utilities - Regulated Electric,Utilities - Regulated Electric,utilities-regulated-electric,Utilities,utilities,Utilities
DLR,REIT - Specialty,REIT - Specialty,reit-specialty,Real Estate,real-estate,Real Estate
WELL,REIT - Healthcare Facilities,REIT - Healthcare Facilities,reit-healthcare-facilities,Real Estate,real-estate,Real Estate
DANOY,Packaged Foods,Packaged Foods,packaged-foods,Consumer Defensive,consumer-defensive,Consumer Defensive
ROST,Apparel Retail,Apparel Retail,apparel-retail,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
ILMN,Diagnostics & Research,Diagnostics & Research,diagnostics-research,Healthcare,healthcare,Healthcare
GFS,Semiconductors,Semiconductors,semiconductors,Technology,technology,Technology
AMP,Asset Management,Asset Management,asset-management,Financial Services,financial-services,Financial Services
DLTR,Discount Stores,Discount Stores,discount-stores,Consumer Defensive,consumer-defensive,Consumer Defensive
BIIB,Drug Manufacturers - General,Drug Manufacturers - General,drug-manufacturers-general,Healthcare,healthcare,Healthcare
PUK,Insurance - Life,Insurance - Life,insurance-life,Financial Services,financial-services,Financial Services
LVS,Resorts & Casinos,Resorts & Casinos,resorts-casinos,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
KEYS,Scientific & Technical Instruments,Scientific & Technical Instruments,scientific-technical-instruments,Technology,technology,Technology
ES,Utilities - Regulated Electric,Utilities - Regulated Electric,utilities-regulated-electric,Utilities,utilities,Utilities
CMI,Specialty Industrial Machinery,Specialty Industrial Machinery,specialty-industrial-machinery,Industrials,industrials,Industrials
SQM,Specialty Chemicals,Specialty Chemicals,specialty-chemicals,Basic Materials,basic-materials,Basic Materials
DDOG,Software - Application,Software - Application,software-application,Technology,technology,Technology
PCAR,Farm & Heavy Construction Machinery,Farm & Heavy Construction Machinery,farm-heavy-construction-machinery,Industrials,industrials,Industrials
IDXX,Diagnostics & Research,Diagnostics & Research,diagnostics-research,Healthcare,healthcare,Healthcare
VRSK,Consulting Services,Consulting Services,consulting-services,Industrials,industrials,Industrials
DFS,Credit Services,Credit Services,credit-services,Financial Services,financial-services,Financial Services
WBA,Pharmaceutical Retailers,Pharmaceutical Retailers,pharmaceutical-retailers,Healthcare,healthcare,Healthcare
BAX,Medical Instruments & Supplies,Medical Instruments & Supplies,medical-instruments-supplies,Healthcare,healthcare,Healthcare
TLK,Telecom Services,Telecom Services,telecom-services,Communication Services,communication-services,Communication Services
PCG,Utilities - Regulated Electric,Utilities - Regulated Electric,utilities-regulated-electric,Utilities,utilities,Utilities
ODFL,Trucking,Trucking,trucking,Industrials,industrials,Industrials
TU,Telecom Services,Telecom Services,telecom-services,Communication Services,communication-services,Communication Services
ON,Semiconductors,Semiconductors,semiconductors,Technology,technology,Technology
OTIS,Specialty Industrial Machinery,Specialty Industrial Machinery,specialty-industrial-machinery,Industrials,industrials,Industrials
CHT,Telecom Services,Telecom Services,telecom-services,Communication Services,communication-services,Communication Services
HPQ,Computer Hardware,Computer Hardware,computer-hardware,Technology,technology,Technology
IBKR,Capital Markets,Capital Markets,capital-markets,Financial Services,financial-services,Financial Services
KKR,Asset Management,Asset Management,asset-management,Financial Services,financial-services,Financial Services
MFG,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
PPERY,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
HCMLY,Building Materials,Building Materials,building-materials,Basic Materials,basic-materials,Basic Materials
DELL,Computer Hardware,Computer Hardware,computer-hardware,Technology,technology,Technology
CSGP,Real Estate Services,Real Estate Services,real-estate-services,Real Estate,real-estate,Real Estate
PPG,Specialty Chemicals,Specialty Chemicals,specialty-chemicals,Basic Materials,basic-materials,Basic Materials
MTD,Diagnostics & Research,Diagnostics & Research,diagnostics-research,Healthcare,healthcare,Healthcare
DD,Specialty Chemicals,Specialty Chemicals,specialty-chemicals,Basic Materials,basic-materials,Basic Materials
ROK,Specialty Industrial Machinery,Specialty Industrial Machinery,specialty-industrial-machinery,Industrials,industrials,Industrials
EXPGY,Consulting Services,Consulting Services,consulting-services,Industrials,industrials,Industrials
AVB,REIT - Residential,REIT - Residential,reit-residential,Real Estate,real-estate,Real Estate
CAIXY,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
AME,Specialty Industrial Machinery,Specialty Industrial Machinery,specialty-industrial-machinery,Industrials,industrials,Industrials
BAESY,Aerospace & Defense,Aerospace & Defense,aerospace-defense,Industrials,industrials,Industrials
CEG,Utilities - Renewable,Utilities - Renewable,utilities-renewable,Utilities,utilities,Utilities
DNBBY,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
OKE,Oil & Gas Midstream,Oil & Gas Midstream,oil-gas-midstream,Energy,energy,Energy
GLW,Electronic Components,Electronic Components,electronic-components,Technology,technology,Technology
WIT,Information Technology Services,Information Technology Services,information-technology-services,Technology,technology,Technology
NOK,Communication Equipment,Communication Equipment,communication-equipment,Technology,technology,Technology
GWW,Industrial Distribution,Industrial Distribution,industrial-distribution,Industrials,industrials,Industrials
EQR,REIT - Residential,REIT - Residential,reit-residential,Real Estate,real-estate,Real Estate
RWEOY,Utilities - Diversified,Utilities - Diversified,utilities-diversified,Utilities,utilities,Utilities
CRH,Building Materials,Building Materials,building-materials,Basic Materials,basic-materials,Basic Materials
FAST,Industrial Distribution,Industrial Distribution,industrial-distribution,Industrials,industrials,Industrials
LCID,Auto Manufacturers,Auto Manufacturers,auto-manufacturers,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
GOLD,Gold,Gold,gold,Basic Materials,basic-materials,Basic Materials
VEEV,Health Information Services,Health Information Services,health-information-services,Healthcare,healthcare,Healthcare
AWK,Utilities - Regulated Water,Utilities - Regulated Water,utilities-regulated-water,Utilities,utilities,Utilities
IFF,Specialty Chemicals,Specialty Chemicals,specialty-chemicals,Basic Materials,basic-materials,Basic Materials
ORAN,Telecom Services,Telecom Services,telecom-services,Communication Services,communication-services,Communication Services
CQP,Oil & Gas Midstream,Oil & Gas Midstream,oil-gas-midstream,Energy,energy,Energy
EBAY,Internet Retail,Internet Retail,internet-retail,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
LI,Auto Manufacturers,Auto Manufacturers,auto-manufacturers,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
HAL,Oil & Gas Equipment & Services,Oil & Gas Equipment & Services,oil-gas-equipment-services,Energy,energy,Energy
CPRT,Specialty Business Services,Specialty Business Services,specialty-business-services,Industrials,industrials,Industrials
LYB,Specialty Chemicals,Specialty Chemicals,specialty-chemicals,Basic Materials,basic-materials,Basic Materials
CBRE,Real Estate Services,Real Estate Services,real-estate-services,Real Estate,real-estate,Real Estate
TSN,Farm Products,Farm Products,farm-products,Consumer Defensive,consumer-defensive,Consumer Defensive
APTV,Auto Parts,Auto Parts,auto-parts,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
STT,Asset Management,Asset Management,asset-management,Financial Services,financial-services,Financial Services
EIX,Utilities - Regulated Electric,Utilities - Regulated Electric,utilities-regulated-electric,Utilities,utilities,Utilities
SLF,Insurance - Diversified,Insurance - Diversified,insurance-diversified,Financial Services,financial-services,Financial Services
TROW,Asset Management,Asset Management,asset-management,Financial Services,financial-services,Financial Services
NU,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
DTE,Utilities - Regulated Electric,Utilities - Regulated Electric,utilities-regulated-electric,Utilities,utilities,Utilities
RBLX,Electronic Gaming & Multimedia,Electronic Gaming & Multimedia,electronic-gaming-multimedia,Communication Services,communication-services,Communication Services
